line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
388,676177.878830,72,128.178.122.39,53774,622,,congestion_avoidance,
389,676177.879577,73,128.178.122.39,53774,632,,congestion_avoidance,
390,676177.880666,74,128.178.122.39,53774,668,,congestion_avoidance,
391,676177.881519,75,128.178.122.39,53774,654,,congestion_avoidance,
392,676177.882430,76,128.178.122.39,53774,851,,congestion_avoidance,
393,676177.883451,77,128.178.122.39,53774,831,,congestion_avoidance,
394,676177.884310,78,128.178.122.39,53774,613,,congestion_avoidance,
395,676177.885349,79,128.178.122.39,53774,605,,congestion_avoidance,
396,676177.886238,80,128.178.122.39,53774,625,,congestion_avoidance,
397,676177.887274,81,128.178.122.39,53774,617,,congestion_avoidance,
398,676177.888390,82,128.178.122.39,53774,630,,congestion_avoidance,
399,676177.889185,83,128.178.122.39,53774,759,,congestion_avoidance,
400,676177.890106,84,128.178.122.39,53774,622,,congestion_avoidance,
401,676177.891365,85,128.178.122.39,53774,818,,congestion_avoidance,
402,676177.892198,86,128.178.122.39,53774,799,,congestion_avoidance,
403,676177.893308,87,128.178.122.39,53774,643,,congestion_avoidance,
404,676177.894473,88,128.178.122.39,53774,750,,congestion_avoidance,
405,676177.895493,89,128.178.122.39,53774,718,,congestion_avoidance,
406,676177.896568,90,128.178.122.39,53774,727,,congestion_avoidance,
