line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
643,79309.632290,45,192.168.88.253,58816,469,,congestion_avoidance,
644,79309.632656,46,192.168.88.253,58816,450,,congestion_avoidance,
645,79309.633227,47,192.168.88.253,58816,543,,congestion_avoidance,
646,79309.633881,48,192.168.88.253,58816,430,,congestion_avoidance,
647,79309.634484,49,192.168.88.253,58816,568,,congestion_avoidance,
648,79309.635148,50,192.168.88.253,58816,489,,congestion_avoidance,
649,79309.635799,51,192.168.88.253,58816,612,,congestion_avoidance,
650,79309.636457,52,192.168.88.253,58816,456,,congestion_avoidance,
651,79309.637115,53,192.168.88.253,58816,581,,congestion_avoidance,
652,79309.637692,54,192.168.88.253,58816,647,,congestion_avoidance,
653,79309.638225,55,192.168.88.253,58816,662,,congestion_avoidance,
654,79309.639040,56,192.168.88.253,58816,689,,congestion_avoidance,
655,79309.639778,57,192.168.88.253,58816,588,,congestion_avoidance,
656,79309.640340,58,192.168.88.253,58816,677,,congestion_avoidance,
657,79309.640918,59,192.168.88.253,58816,500,,congestion_avoidance,
658,79309.641886,60,192.168.88.253,58816,608,,congestion_avoidance,
659,79309.642469,61,192.168.88.253,58816,718,,congestion_avoidance,
660,79309.643336,62,192.168.88.253,58816,505,,congestion_avoidance,
661,79309.643963,63,192.168.88.253,58816,622,,congestion_avoidance,
662,79309.644951,64,192.168.88.253,58816,580,,congestion_avoidance,
663,79309.645577,65,192.168.88.253,58816,660,,congestion_avoidance,
664,79309.646493,32,192.168.88.253,58816,528,,loss_recovery,
665,79309.647458,33,192.168.88.253,58816,392,,congestion_avoidance,
666,79309.647813,34,192.168.88.253,58816,403,,congestion_avoidance,
667,79309.648172,35,192.168.88.253,58816,353,,congestion_avoidance,
668,79309.648401,36,192.168.88.253,58816,410,,congestion_avoidance,
669,79309.648982,37,192.168.88.253,58816,376,,congestion_avoidance,
670,79309.649573,38,192.168.88.253,58816,425,,congestion_avoidance,
671,79309.649938,39,192.168.88.253,58816,414,,congestion_avoidance,
672,79309.650517,40,192.168.88.253,58816,464,,congestion_avoidance,
673,79309.650835,41,192.168.88.253,58816,453,,congestion_avoidance,
674,79309.651433,42,192.168.88.253,58816,359,,congestion_avoidance,
675,79309.652176,43,192.168.88.253,58816,403,,congestion_avoidance,
676,79309.652476,44,192.168.88.253,58816,507,,congestion_avoidance,
677,79309.653075,45,192.168.88.253,58816,395,,congestion_avoidance,
