queue_bytes,burst_bytes,tgr_mbit,strategy,cwnd,throughput_mib_s,empirical_max_loss_rate
100000,25000,750,bdp,25.0,84.56,0.05
100000,25000,1000,reno,97.89,111.92,0.05
100000,25000,1000,empirical,97.0,112.09,0.05
100000,25000,1000,bdp_plus_queue,101.0,110.98,0.05
100000,25000,1000,bdp,34.0,111.17,0.05
100000,50000,250,reno,66.9,28.49,0.05
100000,50000,250,empirical,65.0,28.48,0.05
100000,50000,250,bdp_plus_queue,76.0,28.48,0.05
100000,50000,250,bdp,8.0,28.38,0.05
100000,50000,500,reno,66.81,56.62,0.05
100000,50000,500,empirical,66.0,56.93,0.05
100000,50000,500,bdp_plus_queue,84.0,56.79,0.05
100000,50000,500,bdp,17.0,56.65,0.05
100000,50000,750,reno,67.43,84.66,0.05
100000,50000,750,empirical,66.0,84.87,0.05
100000,50000,750,bdp_plus_queue,93.0,85.1,0.05
100000,50000,750,bdp,25.0,85.14,0.05
100000,50000,1000,reno,115.12,111.3,0.05
100000,50000,1000,empirical,115.0,112.0,0.05
100000,50000,1000,bdp_plus_queue,101.0,111.8,0.05
100000,50000,1000,bdp,34.0,111.43,0.05
100000,100000,250,reno,66.93,28.48,0.05
100000,100000,250,empirical,65.0,28.48,0.05
100000,100000,250,bdp_plus_queue,76.0,28.48,0.05
100000,100000,250,bdp,8.0,28.47,0.05
100000,100000,500,reno,67.09,56.72,0.05
100000,100000,500,empirical,66.0,56.66,0.05
100000,100000,500,bdp_plus_queue,84.0,56.87,0.05
100000,100000,500,bdp,17.0,56.6,0.05
100000,100000,750,reno,68.56,85.35,0.05
100000,100000,750,empirical,66.0,84.51,0.05
100000,100000,750,bdp_plus_queue,93.0,84.74,0.05
100000,100000,750,bdp,25.0,85.06,0.05
100000,100000,1000,reno,133.43,110.87,0.05
100000,100000,1000,empirical,133.0,111.13,0.05
100000,100000,1000,bdp_plus_queue,101.0,111.87,0.05
100000,100000,1000,bdp,34.0,101.04,0.05
